name,rank,correct_name
Candidatus Idupariales,order,Candidatus Australimonadales
Candidatus Idupariaceae,family,Candidatus Australimonadaceae
Candidatus Udisosales,order,Candidatus Eutrophobiales
Candidatus Udisosaceae,family,Candidatus Eutrophobiaceae
Candidatus Otrunosaceae,family,Candidatus Marisalimonadaceae
Candidatus Fogupanaceae,family,Candidatus Seribacteraceae
Candidatus Polydorabacteraceae,family,Candidatus Polydorabacteraceae (nom. illeg.)
Candidatus Methanogastraceae corrig. Chadwick et al. 2022,family,Candidatus Methanogasteraceae
Candidatus Usuriscales,order,Candidatus Tepidiaquacellales
Candidatus Methanomethylia Vanwonterghem et al. 2016,class,Methanosuratincolia
Candidatus Methanomethylicia,class,Methanosuratincolia
Candidatus Methanosuratincolia,class,Methanosuratincolia
Candidatus Methanosuratincolales,order,Methanosuratincolales
Candidatus Methanosuratincolaceae,family,Methanosuratincolaceae
Candidatus Heimdallarchaeia,class,Candidatus Heimdallarchaeia (ex Rinke et al. 2021) (nom. nud.)
Candidatus Usinibraceae,family,Candidatus Phycocordibacteraceae
